"viento","direccion","temperatura","humedad"
8.7,75,8.75,26
9.4,77,7.95,26
9.7,84,8.85,26
10.1,78,7.85,26
9.2,79,7.45,27
12,80,6.45,27
11.7,73,5.55,29
8.9,92,8.35,24
7.7,80,15.75,18
2.2,50,20.45,13
7.3,267,20.75,16
6.7,269,21.05,13
5.8,265,21.95,14
7.1,260,23.25,13
7.6,261,23.75,12
8.1,246,24.55,11
7.5,260,24.45,13
7.7,252,23.55,14
9.2,265,20.95,22
6.3,249,18.25,24
2.3,247,16.25,25
3.6,78,15.45,26
3,118,13.65,27
8.9,81,9.75,31
8.6,82,9.35,32
9.6,73,7.85,31
7.9,75,9.35,28
8.7,84,8.45,31
9.5,78,4.75,35
9.6,72,5.65,34
9.5,83,5.95,34
9.5,79,8.45,30
4.2,51,15.15,20
5.2,274,17.45,20
4.9,271,17.95,21
6.1,250,18.65,20
7,259,19.95,18
8.4,268,20.55,18
7.8,272,21.45,15
8.5,275,22.05,11
8.6,270,22.95,11
9.3,270,22.65,21
7.6,255,20.55,28
5,250,18.35,32
3.8,276,16.55,37
2.2,294,14.85,41
2,101,13.65,38
3.1,98,11.95,39
3.1,96,10.35,42
2.6,90,8.85,45
4.5,91,6.75,46
2.3,101,8.75,47
6.6,76,5.55,52
7.1,83,6.05,54
10.6,84,5.15,50
6.9,72,9.95,46
6.4,59,14.35,37
4.7,284,17.35,30
4.6,255,18.95,26
4.4,255,20.35,24
5.8,253,21.75,22
7.9,266,23.05,20
7.8,248,24.05,20
7.2,257,24.45,19
7.9,254,24.45,20
9,287,25.15,18
8.2,253,22.35,23
4.2,249,19.95,26
1.6,244,18.65,28
2.9,277,16.25,32
2.2,188,14.95,34
2.2,105,15.15,33
2.7,206,13.75,36
3.8,179,13.35,39
2.7,203,12.65,41
1.5,182,11.35,42
4,78,9.45,46
5.6,86,6.65,49
6,76,6.65,49
8,82,8.45,45
7.1,75,14.25,34
1.8,67,18.15,30
2.8,277,20.45,28
4.2,236,21.85,25
7.1,265,22.45,26
7.3,262,22.85,25
9.1,280,23.45,22
9.1,282,23.65,20
8.1,271,23.75,19
9.1,285,23.85,18
8.6,261,22.05,25
6.5,245,19.75,32
5.1,248,17.75,38
3.1,251,16.05,42
2,178,15.15,41
3.8,156,14.45,44
0.8,3,12.95,43
2,147,11.65,45
1.7,75,10.65,46
6.2,81,8.75,53
3.5,107,9.15,53
3.4,101,8.35,50
7,84,7.25,52
6.2,83,9.85,48
1.6,74,14.75,43
4.4,272,16.95,39
6.4,275,17.75,37
7.6,275,18.75,34
7.4,296,19.75,31
8.2,282,20.95,29
8.5,283,21.45,29
10,287,21.75,28
10.7,302,21.55,27
9.1,291,21.15,27
9.5,301,20.85,25
7.2,243,18.45,34
4.5,248,16.75,35
2.3,256,16.25,33
2.7,313,15.45,34
1.8,263,14.05,36
4.4,155,13.05,35
1.7,229,12.95,41
5.8,73,8.45,49
6.8,85,9.45,45
4.2,95,8.65,55
6.8,91,7.45,56
11.3,80,8.25,57
11.6,77,11.35,49
9.7,66,16.15,40
5.5,74,19.05,35
2.1,300,21.55,32
6.3,259,21.35,31
6.5,265,22.05,29
8.3,284,22.95,27
8.5,262,22.95,26
9.3,278,23.95,26
11.7,250,23.25,20
11,250,21.95,19
9.3,259,20.85,20
8.3,259,18.35,31
5.5,256,16.05,28
0.7,286,14.15,31
2.4,100,13.45,31
4.4,71,10.75,32
4.4,92,9.55,33
5.1,88,10.05,35
8.9,76,8.45,36
9.6,82,6.95,36
8.1,70,7.55,40
10.4,73,7.55,37
10.6,76,6.45,41
11.7,78,9.75,38
8.3,71,15.95,28
2.7,86,19.35,32
2.7,323,22.15,27
6.1,271,21.85,26
6.9,278,23.15,24
8.3,265,23.65,23
9.5,273,23.85,24
9.6,262,23.45,21
10.2,258,22.35,27
9.6,246,20.85,30
9.4,246,19.15,35
7.4,257,16.95,40
4.4,260,14.75,44
3.3,286,13.75,45
0.3,268,12.65,48
1.2,94,12.15,47
1.8,107,12.65,42
5,89,8.25,50
8.1,77,8.35,52
8,77,7.35,52
8.7,77,7.75,53
9.1,83,7.95,55
10.8,81,7.75,54
8.1,86,9.05,50
5.8,77,15.35,39
1.2,299,18.85,35
4.6,256,18.75,34
6.2,254,20.35,31
7.7,271,20.55,30
9,267,21.25,30
9.1,269,21.75,29
9.9,249,21.35,30
9.1,252,21.35,30
9.9,249,20.55,34
8.9,252,19.15,38
8.1,259,17.45,40
4.2,280,15.45,44
1.2,305,14.75,46
2.6,100,13.35,48
1.9,105,13.45,45
6.3,91,11.85,50
8.7,82,10.45,52
8.2,71,9.25,53
5.6,56,9.55,55
7.7,89,9.25,57
4.8,94,9.05,58
7.2,76,6.75,63
8.1,76,9.85,56
