,potency,wind
2009-11-09 01:00:00,14.6,8.161
2009-11-09 02:00:00,10.4,8.346
2009-11-09 03:00:00,6.1,8.689
2009-11-09 04:00:00,7.0,10.442
2009-11-09 05:00:00,10.9,10.584000000000001
2009-11-09 06:00:00,13.1,8.06
2009-11-09 07:00:00,11.0,8.368
2009-11-09 08:00:00,12.7,8.315
2009-11-09 09:00:00,9.9,7.76
2009-11-09 10:00:00,7.6,7.996
2009-11-09 11:00:00,10.9,6.035
2009-11-09 12:00:00,13.3,3.1289999999999996
2009-11-09 13:00:00,13.0,3.675
2009-11-09 14:00:00,14.6,6.7139999999999995
2009-11-09 15:00:00,14.9,8.168
2009-11-09 16:00:00,14.9,6.755
2009-11-09 17:00:00,15.1,6.872999999999999
2009-11-09 18:00:00,17.6,6.376
2009-11-09 19:00:00,16.9,8.525
2009-11-09 20:00:00,17.5,8.144
2009-11-09 21:00:00,15.7,8.568999999999999
2009-11-09 22:00:00,15.8,8.831
2009-11-09 23:00:00,12.2,8.373
2009-11-10 00:00:00,10.4,9.721
2009-11-10 01:00:00,10.3,9.955
2009-11-10 02:00:00,7.7,8.451
2009-11-10 03:00:00,7.2,7.189
2009-11-10 04:00:00,4.1,6.881
2009-11-10 05:00:00,2.5,8.555
2009-11-10 06:00:00,6.2,6.495
2009-11-10 07:00:00,5.9,6.796
2009-11-10 08:00:00,4.1,7.4670000000000005
2009-11-10 09:00:00,5.2,5.442
2009-11-10 10:00:00,8.5,3.804
2009-11-10 11:00:00,8.8,2.25
2009-11-10 12:00:00,10.2,2.9810000000000003
2009-11-10 13:00:00,12.0,2.531
2009-11-10 14:00:00,13.1,2.369
2009-11-10 15:00:00,10.0,2.8939999999999997
2009-11-10 16:00:00,11.4,3.359
2009-11-10 17:00:00,11.5,4.937
2009-11-10 18:00:00,12.3,5.183
2009-11-10 19:00:00,10.8,6.17
2009-11-10 20:00:00,12.2,7.566
2009-11-10 21:00:00,10.5,7.65
2009-11-10 22:00:00,9.2,7.856
2009-11-10 23:00:00,9.0,8.228
2009-11-11 00:00:00,6.7,8.381
2009-11-11 01:00:00,8.0,8.538
2009-11-11 02:00:00,5.4,6.305
2009-11-11 03:00:00,3.3,7.0729999999999995
2009-11-11 04:00:00,2.0,6.792000000000001
2009-11-11 05:00:00,1.4,8.602
2009-11-11 06:00:00,0.8,5.57
2009-11-11 07:00:00,0.6,6.76
2009-11-11 08:00:00,0.3,3.964
2009-11-11 09:00:00,0.2,3.045
2009-11-11 10:00:00,0.5,2.6689999999999996
2009-11-11 11:00:00,0.4,2.119
2009-11-11 12:00:00,0.7,2.9539999999999997
2009-11-11 13:00:00,2.3,2.2430000000000003
2009-11-11 14:00:00,5.3,4.968
2009-11-11 15:00:00,6.6,4.537
2009-11-11 16:00:00,8.6,2.8789999999999996
2009-11-11 17:00:00,10.3,2.7710000000000004
2009-11-11 18:00:00,11.1,2.29
2009-11-11 19:00:00,8.9,3.662
2009-11-11 20:00:00,10.9,5.572
2009-11-11 21:00:00,8.3,4.97
2009-11-11 22:00:00,7.7,5.33
2009-11-11 23:00:00,9.2,6.651
2009-11-12 00:00:00,7.5,6.832999999999999
2009-11-12 01:00:00,8.8,7.555
2009-11-12 02:00:00,6.5,4.898
2009-11-12 03:00:00,3.9,5.379
2009-11-12 04:00:00,2.3,5.806
2009-11-12 05:00:00,1.2,6.96
2009-11-12 06:00:00,0.8,4.3180000000000005
2009-11-12 07:00:00,0.9,6.292999999999999
2009-11-12 08:00:00,0.0,3.068
2009-11-12 09:00:00,0.0,2.647
2009-11-12 10:00:00,0.0,2.1790000000000003
2009-11-12 11:00:00,0.6,1.868
2009-11-12 12:00:00,1.3,2.544
2009-11-12 13:00:00,2.2,3.01
2009-11-12 14:00:00,4.2,5.452999999999999
2009-11-12 15:00:00,3.9,4.9319999999999995
2009-11-12 16:00:00,6.0,3.497
2009-11-12 17:00:00,5.3,4.3469999999999995
2009-11-12 18:00:00,6.3,3.713
2009-11-12 19:00:00,7.5,4.952
2009-11-12 20:00:00,8.9,5.8870000000000005
2009-11-12 21:00:00,8.0,5.9270000000000005
2009-11-12 22:00:00,9.6,6.292999999999999
2009-11-12 23:00:00,7.9,6.535
2009-11-13 00:00:00,6.0,8.122
2009-11-13 01:00:00,6.0,8.954
2009-11-13 02:00:00,6.0,5.986000000000001
2009-11-13 03:00:00,6.7,7.369
2009-11-13 04:00:00,5.9,7.391
2009-11-13 05:00:00,5.7,6.893
2009-11-13 06:00:00,8.2,3.427
2009-11-13 07:00:00,4.8,6.9479999999999995
2009-11-13 08:00:00,4.9,4.925
2009-11-13 09:00:00,7.1,3.511
2009-11-13 10:00:00,7.9,3.049
2009-11-13 11:00:00,9.5,3.1860000000000004
2009-11-13 12:00:00,7.4,3.326
2009-11-13 13:00:00,13.5,2.298
2009-11-13 14:00:00,14.8,6.15
2009-11-13 15:00:00,16.7,5.925
2009-11-13 16:00:00,16.7,4.849
2009-11-13 17:00:00,14.6,5.268
2009-11-13 18:00:00,16.5,6.007000000000001
2009-11-13 19:00:00,18.1,6.813
2009-11-13 20:00:00,14.1,7.481
2009-11-13 21:00:00,14.8,7.643
2009-11-13 22:00:00,16.3,8.517999999999999
2009-11-13 23:00:00,16.6,8.876
2009-11-14 00:00:00,12.5,9.453
2009-11-14 01:00:00,9.2,12.847999999999999
2009-11-14 02:00:00,9.3,9.005
2009-11-14 03:00:00,9.0,10.565999999999999
2009-11-14 04:00:00,9.8,9.623
2009-11-14 05:00:00,9.7,9.551
2009-11-14 06:00:00,10.3,6.105
2009-11-14 07:00:00,10.9,8.382
2009-11-14 08:00:00,10.8,7.666
2009-11-14 09:00:00,13.3,6.619
2009-11-14 10:00:00,14.8,6.346
2009-11-14 11:00:00,13.8,6.665
2009-11-14 12:00:00,13.2,5.075
2009-11-14 13:00:00,16.3,4.541
2009-11-14 14:00:00,15.1,7.652
2009-11-14 15:00:00,18.4,7.571000000000001
2009-11-14 16:00:00,16.7,7.607
2009-11-14 17:00:00,17.1,8.237
2009-11-14 18:00:00,17.1,8.443
