"viento","direccion","temperatura","humedad"
5.5,10,16.45,13
6.6,18,13.95,21
7.3,9,15.35,20
6.5,21,15.65,20
9.7,12,13.75,18
10.3,14,14.05,14
9.5,23,14.25,12
3.7,49,15.95,11
1.2,176,18.25,12
2.8,152,20.45,10
3.3,196,23.75,9
3.8,237,25.45,7
4,235,26.55,5
7.1,222,26.35,7
8.3,229,25.55,8
8.5,219,24.15,9
7.7,225,23.25,10
7.3,214,22.65,12
5.9,208,22.05,13
5.4,208,20.85,18
1.7,203,18.65,23
0.7,90,17.35,21
2.9,340,17.85,21
4,348,17.45,19
4.2,6,16.95,25
1.4,355,17.15,25
2.6,11,16.35,28
3.5,12,16.15,26
3.1,28,16.05,26
2.3,19,15.55,28
3.5,27,15.05,28
5.1,12,15.05,27
1.4,336,18.35,21
3,178,20.35,18
5,186,22.25,12
5.2,192,24.25,9
8.8,210,25.85,6
9.1,210,25.35,12
9.2,202,25.05,10
8.5,198,24.45,12
9.1,197,23.95,13
8.4,203,22.85,11
8.4,212,21.85,15
4.8,223,20.55,21
0.3,234,18.45,25
1.4,114,17.85,24
1.5,6,18.65,28
5.1,8,17.75,27
11.1,10,13.65,35
11.9,7,13.55,31
12.8,13,12.55,33
12.4,9,11.95,36
13.2,10,12.35,34
14.3,12,11.35,36
13.4,10,10.95,38
13.2,8,13.95,34
12.9,2,16.85,26
9.9,6,20.65,17
3.7,6,24.35,11
6.7,213,24.75,10
4.7,266,24.95,10
6.6,213,25.25,11
5.7,209,25.15,14
6,206,25.55,14
6.5,206,25.55,15
7,217,24.75,15
6.1,216,23.15,14
5.3,225,20.85,14
1.5,222,18.35,14
4.3,10,17.85,16
13.4,24,17.15,15
14.3,24,16.75,14
13.2,25,16.95,12
11.4,6,15.25,13
12.5,9,14.35,13
13,14,14.55,16
12.1,14,14.35,17
12.6,12,13.55,18
11.8,15,14.15,15
12.4,8,15.65,14
13,10,18.65,14
11.7,10,20.85,15
9,1,23.45,15
4.9,359,25.35,13
3.7,288,27.65,11
7.8,217,25.35,14
8.6,214,25.35,15
8.2,202,24.35,16
6.8,206,24.15,17
5.7,211,23.65,17
7.9,214,22.85,17
5.9,214,20.75,26
1.5,195,18.85,33
1.3,88,18.25,35
7,7,17.85,29
11.6,13,15.25,23
11.1,13,15.05,23
12.4,11,14.55,24
11.2,23,15.35,22
8.5,39,16.15,18
4.3,60,15.95,24
5.6,10,14.65,19
10.1,10,11.15,25
10.1,14,14.45,20
11.6,14,18.65,19
10.6,17,19.55,23
10.3,3,20.45,24
8.1,358,22.05,24
4.8,13,23.55,20
4,344,25.15,18
10.5,213,24.95,23
9.9,230,23.35,30
8.2,227,22.55,29
7.6,226,22.05,33
6.7,228,20.85,34
4,229,19.55,38
2.1,189,17.95,44
3.4,15,16.75,50
8.9,24,17.55,31
11.2,27,16.15,29
11.6,16,16.05,24
9.6,31,16.15,27
9.5,6,14.85,27
10.8,9,12.45,35
10.3,20,15.25,19
10.1,16,14.35,16
11,16,14.25,13
10.9,24,16.55,11
9.5,5,18.85,12
9.5,7,21.25,21
8.3,360,22.95,22
6.7,2,24.55,17
3.9,342,26.55,16
9,222,24.75,19
