YEAR,MO,DY,HH,MM,SS,"den,kg/m3,0.0m","dir,m/s,95.3m","vel,m/s,95.3m"
2010,01,01,00,00,00,   1.20,        172.500,          6.544
2010,01,01,01,00,00,   1.20,        171.000,          7.358
2010,01,01,02,00,00,   1.20,        168.000,          8.406
2010,01,01,03,00,00,   1.21,        171.000,         10.146
2010,01,01,04,00,00,   1.21,        168.000,         10.776
2010,01,01,05,00,00,   1.21,        168.000,         10.194
2010,01,01,06,00,00,   1.21,        165.000,         10.226
2010,01,01,07,00,00,   1.21,        165.000,          9.990
2010,01,01,08,00,00,   1.21,        162.000,          9.770
2010,01,01,09,00,00,   1.21,        166.500,          9.566
2010,01,01,10,00,00,   1.21,        168.000,          7.802
2010,01,01,11,00,00,   1.21,        169.500,          6.784
2010,01,01,12,00,00,   1.20,        186.000,          6.118
2010,01,01,13,00,00,   1.20,        190.500,          6.874
2010,01,01,14,00,00,   1.20,        190.500,          7.514
2010,01,01,15,00,00,   1.19,        190.500,          7.740
2010,01,01,16,00,00,   1.19,        192.000,          9.220
2010,01,01,17,00,00,   1.19,        187.500,          9.722
2010,01,01,18,00,00,   1.19,        183.000,          8.952
2010,01,01,19,00,00,   1.19,        186.000,          8.308
2010,01,01,20,00,00,   1.19,        183.000,          9.228
2010,01,01,21,00,00,   1.19,        180.000,          9.812
2010,01,01,22,00,00,   1.20,        175.500,         10.708
2010,01,01,23,00,00,   1.20,        168.000,         10.100
2010,01,02,00,00,00,   1.20,        169.500,          6.461
2010,01,02,01,00,00,   1.20,        166.500,          8.852
2010,01,02,02,00,00,   1.20,        171.000,          8.344
2010,01,02,03,00,00,   1.20,        163.500,          7.382
2010,01,02,04,00,00,   1.20,        171.000,          6.774
2010,01,02,05,00,00,   1.20,        171.000,          6.144
2010,01,02,06,00,00,   1.20,        174.000,          5.602
2010,01,02,07,00,00,   1.20,        172.500,          4.882
2010,01,02,08,00,00,   1.20,        177.000,          2.690
2010,01,02,09,00,00,   1.20,        171.000,          2.106
2010,01,02,10,00,00,   1.20,        183.000,          3.286
2010,01,02,11,00,00,   1.20,        180.000,          2.068
2010,01,02,12,00,00,   1.20,        187.500,          2.652
2010,01,02,13,00,00,   1.20,        202.500,          3.748
2010,01,02,14,00,00,   1.19,        208.500,          3.314
2010,01,02,15,00,00,   1.19,        204.000,          4.088
2010,01,02,16,00,00,   1.19,        202.500,          5.164
2010,01,02,17,00,00,   1.19,        201.000,          5.710
2010,01,02,18,00,00,   1.19,        199.500,          5.930
2010,01,02,19,00,00,   1.19,        198.000,          5.936
2010,01,02,20,00,00,   1.19,        198.000,          6.472
2010,01,02,21,00,00,   1.19,        190.500,          7.038
2010,01,02,22,00,00,   1.19,        181.500,          6.426
2010,01,02,23,00,00,   1.20,        180.000,          6.098
2010,01,03,00,00,00,   1.20,        166.500,          6.378
2010,01,03,01,00,00,   1.20,        171.000,          6.108
2010,01,03,02,00,00,   1.20,        174.000,          5.726
2010,01,03,03,00,00,   1.20,        174.000,          5.840
2010,01,03,04,00,00,   1.20,        177.000,          5.608
2010,01,03,05,00,00,   1.20,        180.000,          5.730
2010,01,03,06,00,00,   1.20,        187.500,          5.332
2010,01,03,07,00,00,   1.20,        177.000,          3.854
2010,01,03,08,00,00,   1.21,        192.000,          4.650
2010,01,03,09,00,00,   1.21,        187.500,          3.322
2010,01,03,10,00,00,   1.21,        207.000,          2.816
2010,01,03,11,00,00,   1.21,        202.500,          3.362
2010,01,03,12,00,00,   1.21,        204.000,          2.464
2010,01,03,13,00,00,   1.21,        205.500,          2.708
2010,01,03,14,00,00,   1.20,        208.500,          2.856
2010,01,03,15,00,00,   1.20,        207.000,          3.554
2010,01,03,16,00,00,   1.20,        213.000,          3.758
2010,01,03,17,00,00,   1.20,        213.000,          3.814
2010,01,03,18,00,00,   1.20,        205.500,          4.988
2010,01,03,19,00,00,   1.19,        202.500,          5.376
2010,01,03,20,00,00,   1.19,        199.500,          5.648
2010,01,03,21,00,00,   1.19,        195.000,          5.924
2010,01,03,22,00,00,   1.20,        193.500,          6.806
2010,01,03,23,00,00,   1.20,        180.000,          6.732
2010,01,04,00,00,00,   1.20,        172.500,          7.108
2010,01,04,01,00,00,   1.20,        168.000,          6.352
2010,01,04,02,00,00,   1.20,        169.500,          6.842
2010,01,04,03,00,00,   1.20,        174.000,          6.496
2010,01,04,04,00,00,   1.21,        169.500,          5.650
2010,01,04,05,00,00,   1.21,        174.000,          6.214
2010,01,04,06,00,00,   1.21,        186.000,          5.828
2010,01,04,07,00,00,   1.21,        181.500,          5.292
2010,01,04,08,00,00,   1.21,        165.000,          4.002
2010,01,04,09,00,00,   1.21,        153.000,          5.052
2010,01,04,10,00,00,   1.21,        151.500,          3.666
2010,01,04,11,00,00,   1.21,        169.500,          2.772
2010,01,04,12,00,00,   1.21,        198.000,          3.488
2010,01,04,13,00,00,   1.20,        204.000,          3.584
