YEAR,MO,DY,HH,MM,SS,"den,kg/m3,0.0m","dir,m/s,95.3m","vel,m/s,95.3m"
2010,01,01,00,00,00,   1.17,        171.000,          7.548
2010,01,01,01,00,00,   1.18,        183.000,          9.674
2010,01,01,02,00,00,   1.18,        171.000,          4.786
2010,01,01,03,00,00,   1.18,        178.500,          6.618
2010,01,01,04,00,00,   1.18,        175.500,          7.348
2010,01,01,05,00,00,   1.18,        175.500,          5.964
2010,01,01,06,00,00,   1.18,        174.000,          7.510
2010,01,01,07,00,00,   1.19,        171.000,          4.246
2010,01,01,08,00,00,   1.19,        172.500,          7.364
2010,01,01,09,00,00,   1.18,        169.500,          4.508
2010,01,01,10,00,00,   1.19,        147.000,          0.934
2010,01,01,11,00,00,   1.18,          4.500,          1.114
2010,01,01,12,00,00,   1.17,        316.500,          0.594
2010,01,01,13,00,00,   1.17,        201.000,          2.506
2010,01,01,14,00,00,   1.16,        196.500,          6.186
2010,01,01,15,00,00,   1.16,        192.000,          6.586
2010,01,01,16,00,00,   1.16,        196.500,          7.760
2010,01,01,17,00,00,   1.16,        192.000,          9.498
2010,01,01,18,00,00,   1.16,        187.500,         10.448
2010,01,01,19,00,00,   1.15,        189.000,          9.892
2010,01,01,20,00,00,   1.16,        190.500,          9.718
2010,01,01,21,00,00,   1.16,        189.000,         10.116
2010,01,01,22,00,00,   1.17,        186.000,         11.702
2010,01,01,23,00,00,   1.17,        180.000,         11.402
2010,01,02,00,00,00,   1.17,        151.500,          4.465
2010,01,02,01,00,00,   1.17,        175.500,          7.558
2010,01,02,02,00,00,   1.17,        174.000,          6.652
2010,01,02,03,00,00,   1.17,        175.500,          4.812
2010,01,02,04,00,00,   1.17,        177.000,          5.036
2010,01,02,05,00,00,   1.17,        165.000,          2.752
2010,01,02,06,00,00,   1.17,         67.500,          0.390
2010,01,02,07,00,00,   1.17,         24.000,          1.272
2010,01,02,08,00,00,   1.17,        342.000,          0.510
2010,01,02,09,00,00,   1.17,        157.500,          0.494
2010,01,02,10,00,00,   1.17,         34.500,          0.580
2010,01,02,11,00,00,   1.17,        337.500,          1.424
2010,01,02,12,00,00,   1.16,        340.500,          1.828
2010,01,02,13,00,00,   1.16,        303.000,          1.128
2010,01,02,14,00,00,   1.15,        199.500,          1.946
2010,01,02,15,00,00,   1.15,        208.500,          3.102
2010,01,02,16,00,00,   1.15,        207.000,          4.444
2010,01,02,17,00,00,   1.15,        205.500,          5.532
2010,01,02,18,00,00,   1.15,        201.000,          6.254
2010,01,02,19,00,00,   1.15,        195.000,          6.216
2010,01,02,20,00,00,   1.15,        192.000,          6.600
2010,01,02,21,00,00,   1.16,        186.000,          7.146
2010,01,02,22,00,00,   1.16,        175.500,          6.826
2010,01,02,23,00,00,   1.16,        169.500,          5.904
2010,01,03,00,00,00,   1.17,        132.000,          1.382
2010,01,03,01,00,00,   1.18,         46.500,          1.238
2010,01,03,02,00,00,   1.17,         39.000,          0.316
2010,01,03,03,00,00,   1.18,        132.000,          0.400
2010,01,03,04,00,00,   1.18,        130.500,          0.338
2010,01,03,05,00,00,   1.18,        168.000,          1.702
2010,01,03,06,00,00,   1.18,        156.000,          2.048
2010,01,03,07,00,00,   1.18,         60.000,          0.834
2010,01,03,08,00,00,   1.18,         49.500,          0.806
2010,01,03,09,00,00,   1.18,        312.000,          0.424
2010,01,03,10,00,00,   1.18,        327.000,          0.810
2010,01,03,11,00,00,   1.18,         25.500,          2.176
2010,01,03,12,00,00,   1.18,         22.500,          1.670
2010,01,03,13,00,00,   1.16,        333.000,          2.040
2010,01,03,14,00,00,   1.16,        331.500,          1.734
2010,01,03,15,00,00,   1.16,        220.500,          2.098
2010,01,03,16,00,00,   1.16,        205.500,          3.314
2010,01,03,17,00,00,   1.16,        199.500,          5.060
2010,01,03,18,00,00,   1.16,        199.500,          5.318
2010,01,03,19,00,00,   1.16,        199.500,          5.794
2010,01,03,20,00,00,   1.16,        199.500,          5.604
2010,01,03,21,00,00,   1.16,        196.500,          5.750
2010,01,03,22,00,00,   1.16,        186.000,          6.586
