,potency,ws
2009-12-07 01:00:00,0.0,12.504000000000001
2009-12-07 02:00:00,0.0,10.98
2009-12-07 03:00:00,0.0,11.227
2009-12-07 04:00:00,0.0,11.067
2009-12-07 05:00:00,0.0,9.687999999999999
2009-12-07 06:00:00,0.0,8.305
2009-12-07 07:00:00,0.0,6.08
2009-12-07 08:00:00,0.0,6.431
2009-12-07 09:00:00,0.0,6.885
2009-12-07 10:00:00,0.0,5.207000000000001
2009-12-07 11:00:00,0.0,3.1830000000000003
2009-12-07 12:00:00,0.0,4.817
2009-12-07 13:00:00,0.0,4.638
2009-12-07 14:00:00,0.0,7.795
2009-12-07 15:00:00,0.0,5.376
2009-12-07 16:00:00,0.0,7.2010000000000005
2009-12-07 17:00:00,0.0,12.407
2009-12-07 18:00:00,0.0,13.217
2009-12-07 19:00:00,0.0,11.357999999999999
2009-12-07 20:00:00,0.1,11.94
2009-12-07 21:00:00,0.1,14.918
2009-12-07 22:00:00,0.1,15.527999999999999
2009-12-07 23:00:00,0.0,15.03
2009-12-08 00:00:00,0.0,10.946
2009-12-08 01:00:00,0.0,9.948
2009-12-08 02:00:00,0.1,8.067
2009-12-08 03:00:00,0.0,8.817
2009-12-08 04:00:00,0.0,8.382
2009-12-08 05:00:00,0.0,7.281000000000001
2009-12-08 06:00:00,0.0,7.195
2009-12-08 07:00:00,0.0,4.531000000000001
2009-12-08 08:00:00,0.0,4.794
2009-12-08 09:00:00,0.0,4.683
2009-12-08 10:00:00,0.0,2.5580000000000003
2009-12-08 11:00:00,0.1,1.8419999999999999
2009-12-08 12:00:00,0.3,3.227
2009-12-08 13:00:00,0.6,3.965
2009-12-08 14:00:00,0.3,3.7739999999999996
2009-12-08 15:00:00,0.3,4.966
2009-12-08 16:00:00,0.0,8.884
2009-12-08 17:00:00,0.4,9.566
2009-12-08 18:00:00,1.1,10.373
2009-12-08 19:00:00,1.0,11.046
2009-12-08 20:00:00,1.2,10.716
2009-12-08 21:00:00,1.9,15.892000000000001
2009-12-08 22:00:00,2.5,17.117
2009-12-08 23:00:00,2.2,16.871
2009-12-09 00:00:00,1.4,10.023
2009-12-09 01:00:00,0.4,9.148
2009-12-09 02:00:00,1.1,6.6129999999999995
2009-12-09 03:00:00,0.9,7.522
2009-12-09 04:00:00,1.4,5.819
2009-12-09 05:00:00,0.6,4.843
2009-12-09 06:00:00,0.2,5.556
2009-12-09 07:00:00,0.2,3.0869999999999997
2009-12-09 08:00:00,0.0,2.944
2009-12-09 09:00:00,0.0,3.22
2009-12-09 10:00:00,0.0,1.052
2009-12-09 11:00:00,0.0,0.662
2009-12-09 12:00:00,0.3,1.725
2009-12-09 13:00:00,0.5,4.327
2009-12-09 14:00:00,0.9,4.234
2009-12-09 15:00:00,1.0,5.492000000000001
2009-12-09 16:00:00,1.2,6.598
2009-12-09 17:00:00,1.2,9.261000000000001
2009-12-09 18:00:00,1.2,10.249
2009-12-09 19:00:00,2.0,11.617
2009-12-09 20:00:00,1.2,11.227
2009-12-09 21:00:00,1.3,15.511
2009-12-09 22:00:00,0.7,16.49
2009-12-09 23:00:00,0.4,16.18
2009-12-10 00:00:00,0.2,10.412
2009-12-10 01:00:00,0.3,9.824
2009-12-10 02:00:00,0.1,6.332000000000001
2009-12-10 03:00:00,0.1,7.117000000000001
2009-12-10 04:00:00,0.0,5.421
2009-12-10 05:00:00,0.0,4.62
2009-12-10 06:00:00,0.0,5.1339999999999995
2009-12-10 07:00:00,0.0,2.7430000000000003
2009-12-10 08:00:00,0.0,2.227
2009-12-10 09:00:00,0.0,4.377
2009-12-10 10:00:00,0.0,1.565
2009-12-10 11:00:00,0.0,1.215
2009-12-10 12:00:00,0.0,3.3930000000000002
2009-12-10 13:00:00,0.0,3.753
2009-12-10 14:00:00,0.0,4.956
2009-12-10 15:00:00,0.0,4.232
2009-12-10 16:00:00,0.0,3.266
2009-12-10 17:00:00,0.0,7.821000000000001
2009-12-10 18:00:00,0.2,9.706
2009-12-10 19:00:00,0.9,8.792
2009-12-10 20:00:00,1.4,9.908999999999999
2009-12-10 21:00:00,2.0,12.252
2009-12-10 22:00:00,1.5,13.16
2009-12-10 23:00:00,1.4,13.013
2009-12-11 00:00:00,1.5,13.767000000000001
2009-12-11 01:00:00,1.2,12.788
2009-12-11 02:00:00,0.8,10.955
2009-12-11 03:00:00,1.0,11.234000000000002
2009-12-11 04:00:00,0.6,10.997
2009-12-11 05:00:00,0.5,9.632
2009-12-11 06:00:00,0.3,6.97
2009-12-11 07:00:00,0.8,5.662000000000001
2009-12-11 08:00:00,0.7,4.254
2009-12-11 09:00:00,0.1,5.138999999999999
2009-12-11 10:00:00,0.2,4.638999999999999
2009-12-11 11:00:00,0.3,4.311
2009-12-11 12:00:00,0.5,2.116
2009-12-11 13:00:00,1.5,4.151
2009-12-11 14:00:00,1.9,5.667000000000001
2009-12-11 15:00:00,3.6,6.074
2009-12-11 16:00:00,6.7,10.078
2009-12-11 17:00:00,7.6,10.665999999999999
2009-12-11 18:00:00,8.2,12.439
2009-12-11 19:00:00,8.5,11.959000000000001
2009-12-11 20:00:00,7.0,12.985
2009-12-11 21:00:00,7.5,16.08
2009-12-11 22:00:00,6.8,17.250999999999998
2009-12-11 23:00:00,3.7,16.905
2009-12-12 00:00:00,3.5,11.218
2009-12-12 01:00:00,4.8,9.73
2009-12-12 02:00:00,1.4,9.527999999999999
2009-12-12 03:00:00,6.2,10.704
2009-12-12 04:00:00,3.6,8.221
2009-12-12 05:00:00,2.8,6.624
2009-12-12 06:00:00,2.0,7.345
2009-12-12 07:00:00,1.5,5.311
2009-12-12 08:00:00,1.4,5.811
2009-12-12 09:00:00,1.2,3.065
2009-12-12 10:00:00,0.5,2.752
2009-12-12 11:00:00,1.6,5.638999999999999
2009-12-12 12:00:00,2.5,3.886
