,potency,ws
2009-12-07 01:00:00,0.0,11.194
2009-12-07 02:00:00,0.0,9.758
2009-12-07 03:00:00,0.0,9.632
2009-12-07 04:00:00,0.0,8.908
2009-12-07 05:00:00,0.0,7.767
2009-12-07 06:00:00,0.0,6.726
2009-12-07 07:00:00,0.0,5.492999999999999
2009-12-07 08:00:00,0.0,5.655
2009-12-07 09:00:00,0.0,5.376
2009-12-07 10:00:00,0.0,4.35
2009-12-07 11:00:00,0.0,4.875
2009-12-07 12:00:00,0.0,3.799
2009-12-07 13:00:00,0.0,2.647
2009-12-07 14:00:00,0.0,3.82
2009-12-07 15:00:00,0.0,6.557
2009-12-07 16:00:00,0.0,7.461
2009-12-07 17:00:00,0.0,8.953
2009-12-07 18:00:00,0.0,9.474
2009-12-07 19:00:00,0.0,8.202
2009-12-07 20:00:00,0.0,8.636000000000001
2009-12-07 21:00:00,0.0,9.705
2009-12-07 22:00:00,0.0,8.046
2009-12-07 23:00:00,0.0,10.624
2009-12-08 00:00:00,0.0,11.965
2009-12-08 01:00:00,0.0,10.716
2009-12-08 02:00:00,0.0,9.453
2009-12-08 03:00:00,0.0,9.342
2009-12-08 04:00:00,0.0,8.62
2009-12-08 05:00:00,0.0,7.675
2009-12-08 06:00:00,0.0,7.725
2009-12-08 07:00:00,0.0,6.295
2009-12-08 08:00:00,0.0,5.992999999999999
2009-12-08 09:00:00,0.0,4.611000000000001
2009-12-08 10:00:00,0.0,3.292
2009-12-08 11:00:00,0.0,3.0460000000000003
2009-12-08 12:00:00,0.0,2.095
2009-12-08 13:00:00,0.0,1.744
2009-12-08 14:00:00,0.2,2.7569999999999997
2009-12-08 15:00:00,0.8,5.934
2009-12-08 16:00:00,0.9,6.2589999999999995
2009-12-08 17:00:00,1.4,7.996
2009-12-08 18:00:00,1.9,8.511000000000001
2009-12-08 19:00:00,2.4,6.852
2009-12-08 20:00:00,2.3,7.115
2009-12-08 21:00:00,3.9,7.827999999999999
2009-12-08 22:00:00,4.3,6.081
2009-12-08 23:00:00,4.1,8.249
2009-12-09 00:00:00,3.9,9.474
2009-12-09 01:00:00,3.4,9.586
2009-12-09 02:00:00,3.1,9.107000000000001
2009-12-09 03:00:00,2.5,8.368
2009-12-09 04:00:00,1.3,7.331
2009-12-09 05:00:00,0.7,6.6129999999999995
2009-12-09 06:00:00,0.6,5.9910000000000005
2009-12-09 07:00:00,0.4,4.842
2009-12-09 08:00:00,0.0,6.216
2009-12-09 09:00:00,0.0,4.8919999999999995
2009-12-09 10:00:00,0.0,2.9930000000000003
2009-12-09 11:00:00,0.2,2.439
