YEAR,MO,DY,HH,MM,SS,"den,kg/m3,0.0m","dir,m/s,95.0m","vel,m/s,95.0m"
2010,01,01,00,00,00,   1.18,        168.000,          6.774
2010,01,01,01,00,00,   1.19,        162.000,          7.822
2010,01,01,02,00,00,   1.19,        148.500,          8.544
2010,01,01,03,00,00,   1.19,        165.000,          9.752
2010,01,01,04,00,00,   1.19,        160.500,          9.156
2010,01,01,05,00,00,   1.20,        163.500,         10.140
2010,01,01,06,00,00,   1.20,        157.500,          8.754
2010,01,01,07,00,00,   1.20,        159.000,          9.022
2010,01,01,08,00,00,   1.20,        157.500,          9.400
2010,01,01,09,00,00,   1.20,        156.000,          7.504
2010,01,01,10,00,00,   1.20,        154.500,          6.714
2010,01,01,11,00,00,   1.19,        160.500,          5.688
2010,01,01,12,00,00,   1.19,        181.500,          4.418
2010,01,01,13,00,00,   1.18,        190.500,          4.788
2010,01,01,14,00,00,   1.18,        186.000,          5.408
2010,01,01,15,00,00,   1.17,        184.500,          5.918
2010,01,01,16,00,00,   1.17,        190.500,          7.054
2010,01,01,17,00,00,   1.17,        183.000,          8.456
2010,01,01,18,00,00,   1.17,        175.500,          8.224
2010,01,01,19,00,00,   1.17,        177.000,          7.724
2010,01,01,20,00,00,   1.17,        175.500,          8.384
2010,01,01,21,00,00,   1.18,        171.000,          9.484
2010,01,01,22,00,00,   1.18,        166.500,         10.694
2010,01,01,23,00,00,   1.18,        151.500,          9.310
2010,01,02,00,00,00,   1.18,        159.750,          6.036
2010,01,02,01,00,00,   1.19,        154.500,          8.564
2010,01,02,02,00,00,   1.19,        151.500,          7.062
2010,01,02,03,00,00,   1.19,        153.000,          7.126
2010,01,02,04,00,00,   1.19,        157.500,          5.806
2010,01,02,05,00,00,   1.19,        156.000,          5.356
2010,01,02,06,00,00,   1.19,        160.500,          4.112
2010,01,02,07,00,00,   1.18,        157.500,          2.074
2010,01,02,08,00,00,   1.18,        157.500,          0.534
2010,01,02,09,00,00,   1.18,        162.000,          0.320
2010,01,02,10,00,00,   1.18,        175.500,          0.938
