,leaking_rate,n_reservoir,regularization,sparsity,spectral_radius,scores
0,0.3,100,10000.0,0.2,1e-05,100.22531737546355
1,0.3,100,10000.0,0.2,0.0001,100.22531726080757
2,0.3,100,10000.0,0.2,0.001,100.22531604632678
3,0.3,100,10000.0,0.2,0.01,100.22529711019156
4,0.3,100,10000.0,0.2,0.1,100.2244299261198
5,0.3,100,10000.0,0.2,1.0,100.1494954269311
6,0.3,100,10000.0,0.5,1e-05,100.22531789099764
7,0.3,100,10000.0,0.5,0.0001,100.22532241629672
8,0.3,100,10000.0,0.5,0.001,100.22536761595937
9,0.3,100,10000.0,0.5,0.01,100.22581428168822
10,0.3,100,10000.0,0.5,0.1,100.229750173816
11,0.3,100,10000.0,0.5,1.0,100.21788031266192
12,0.3,100,10000.0,0.9,1e-05,100.22531641835995
13,0.3,100,10000.0,0.9,0.0001,100.22530769015593
14,0.3,100,10000.0,0.9,0.001,100.22522037828615
15,0.3,100,10000.0,0.9,0.01,100.22434427594384
16,0.3,100,10000.0,0.9,0.1,100.21528473071403
17,0.3,100,10000.0,0.9,1.0,100.0943006258131
18,0.3,100,251.18864315095797,0.2,1e-05,87.93647267572923
19,0.3,100,251.18864315095797,0.2,0.0001,87.9364950276014
20,0.3,100,251.18864315095797,0.2,0.001,87.93671811627297
21,0.3,100,251.18864315095797,0.2,0.01,87.93890595899029
22,0.3,100,251.18864315095797,0.2,0.1,87.95644702983861
23,0.3,100,251.18864315095797,0.2,1.0,87.72248223758703
24,0.3,100,251.18864315095797,0.5,1e-05,87.93647270177429
25,0.3,100,251.18864315095797,0.5,0.0001,87.93649528883212
26,0.3,100,251.18864315095797,0.5,0.001,87.93672080643462
27,0.3,100,251.18864315095797,0.5,0.01,87.938940668466
28,0.3,100,251.18864315095797,0.5,0.1,87.95759473286056
29,0.3,100,251.18864315095797,0.5,1.0,87.80959924310973
30,0.3,100,251.18864315095797,0.9,1e-05,87.9364697922988
31,0.3,100,251.18864315095797,0.9,0.0001,87.93646619386253
32,0.3,100,251.18864315095797,0.9,0.001,87.93642983556627
33,0.3,100,251.18864315095797,0.9,0.01,87.93602886651145
34,0.3,100,251.18864315095797,0.9,0.1,87.92829177723331
35,0.3,100,251.18864315095797,0.9,1.0,87.52400653035158
36,0.3,100,6.30957344480193,0.2,1e-05,85.77437430518181
37,0.3,100,6.30957344480193,0.2,0.0001,85.77442793747666
38,0.3,100,6.30957344480193,0.2,0.001,85.77495650528122
39,0.3,100,6.30957344480193,0.2,0.01,85.77946496734562
40,0.3,100,6.30957344480193,0.2,0.1,85.74744560988175
41,0.3,100,6.30957344480193,0.2,1.0,83.76176941877146
42,0.3,100,6.30957344480193,0.5,1e-05,85.77437184265904
43,0.3,100,6.30957344480193,0.5,0.0001,85.77440332371155
