,leaking_rate,n_reservoir,regularization,sparsity,spectral_radius,scores
0,0.3,100,10000.0,0.2,1e-05,73.98102090975104
1,0.3,100,10000.0,0.2,0.0001,73.98101506093431
2,0.3,100,10000.0,0.2,0.001,73.98095658565339
3,0.3,100,10000.0,0.2,0.01,73.98037312217424
4,0.3,100,10000.0,0.2,0.1,73.97466815573569
5,0.3,100,10000.0,0.2,1.0,73.93097601207414
6,0.3,100,10000.0,0.5,1e-05,73.98102110535163
7,0.3,100,10000.0,0.5,0.0001,73.98101701691071
8,0.3,100,10000.0,0.5,0.001,73.98097614249491
9,0.3,100,10000.0,0.5,0.01,73.98056839822004
10,0.3,100,10000.0,0.5,0.1,73.97659164912456
11,0.3,100,10000.0,0.5,1.0,73.94728032459345
12,0.3,100,10000.0,0.9,1e-05,73.98102114557095
13,0.3,100,10000.0,0.9,0.0001,73.9810174190137
14,0.3,100,10000.0,0.9,0.001,73.9809801542755
15,0.3,100,10000.0,0.9,0.01,73.98060759050382
16,0.3,100,10000.0,0.9,0.1,73.97689045961279
17,0.3,100,10000.0,0.9,1.0,73.94079024971761
18,0.3,100,251.18864315095797,0.2,1e-05,65.18199234862061
19,0.3,100,251.18864315095797,0.2,0.0001,65.18199473166261
20,0.3,100,251.18864315095797,0.2,0.001,65.18201856499599
21,0.3,100,251.18864315095797,0.2,0.01,65.18225718466861
22,0.3,100,251.18864315095797,0.2,0.1,65.184666972352
23,0.3,100,251.18864315095797,0.2,1.0,65.20543646558045
24,0.3,100,251.18864315095797,0.5,1e-05,65.1819924566691
25,0.3,100,251.18864315095797,0.5,0.0001,65.18199581201817
26,0.3,100,251.18864315095797,0.5,0.001,65.18202935556688
27,0.3,100,251.18864315095797,0.5,0.01,65.18236379243345
28,0.3,100,251.18864315095797,0.5,0.1,65.18560359811119
29,0.3,100,251.18864315095797,0.5,1.0,65.20393728971887
30,0.3,100,251.18864315095797,0.9,1e-05,65.18199222951627
31,0.3,100,251.18864315095797,0.9,0.0001,65.1819935405931
32,0.3,100,251.18864315095797,0.9,0.001,65.18200665174471
33,0.3,100,251.18864315095797,0.9,0.01,65.18213779980805
34,0.3,100,251.18864315095797,0.9,0.1,65.18345096086401
35,0.3,100,251.18864315095797,0.9,1.0,65.19487173884984
36,0.3,100,6.30957344480193,0.2,1e-05,63.55242034385564
37,0.3,100,6.30957344480193,0.2,0.0001,63.55242113023647
38,0.3,100,6.30957344480193,0.2,0.001,63.55242893913262
39,0.3,100,6.30957344480193,0.2,0.01,63.55250150778107
40,0.3,100,6.30957344480193,0.2,0.1,63.55264854115399
41,0.3,100,6.30957344480193,0.2,1.0,63.49714130154265
42,0.3,100,6.30957344480193,0.5,1e-05,63.55242003671929
43,0.3,100,6.30957344480193,0.5,0.0001,63.55241805862618
44,0.3,100,6.30957344480193,0.5,0.001,63.552398198519256
45,0.3,100,6.30957344480193,0.5,0.01,63.55219166739469
