,0,1,2,3,4,5,6,7,8,9,10,11
0,7.7,7.2,4.1,2.5,6.2,5.9,4.1,5.2,8.5,8.8,10.2,12.0
1,7.2,4.1,2.5,6.2,5.9,4.1,5.2,8.5,8.8,10.2,12.0,13.1
2,4.1,2.5,6.2,5.9,4.1,5.2,8.5,8.8,10.2,12.0,13.1,10.0
3,2.5,6.2,5.9,4.1,5.2,8.5,8.8,10.2,12.0,13.1,10.0,11.4
4,6.2,5.9,4.1,5.2,8.5,8.8,10.2,12.0,13.1,10.0,11.4,11.5
5,5.9,4.1,5.2,8.5,8.8,10.2,12.0,13.1,10.0,11.4,11.5,12.3
6,4.1,5.2,8.5,8.8,10.2,12.0,13.1,10.0,11.4,11.5,12.3,10.8
7,5.2,8.5,8.8,10.2,12.0,13.1,10.0,11.4,11.5,12.3,10.8,12.2
8,8.5,8.8,10.2,12.0,13.1,10.0,11.4,11.5,12.3,10.8,12.2,10.5
9,8.8,10.2,12.0,13.1,10.0,11.4,11.5,12.3,10.8,12.2,10.5,9.2
10,10.2,12.0,13.1,10.0,11.4,11.5,12.3,10.8,12.2,10.5,9.2,9.0
11,12.0,13.1,10.0,11.4,11.5,12.3,10.8,12.2,10.5,9.2,9.0,6.7
12,13.1,10.0,11.4,11.5,12.3,10.8,12.2,10.5,9.2,9.0,6.7,8.0
13,10.0,11.4,11.5,12.3,10.8,12.2,10.5,9.2,9.0,6.7,8.0,5.4
14,11.4,11.5,12.3,10.8,12.2,10.5,9.2,9.0,6.7,8.0,5.4,3.3
15,11.5,12.3,10.8,12.2,10.5,9.2,9.0,6.7,8.0,5.4,3.3,2.0
16,12.3,10.8,12.2,10.5,9.2,9.0,6.7,8.0,5.4,3.3,2.0,1.4
17,10.8,12.2,10.5,9.2,9.0,6.7,8.0,5.4,3.3,2.0,1.4,0.8
18,12.2,10.5,9.2,9.0,6.7,8.0,5.4,3.3,2.0,1.4,0.8,0.6
