,0,1,2,3,4,5,6,7,8,9,10,11
0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.3
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.3,0.3
3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.3,0.3,0.0
4,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.3,0.3,0.0,0.4
5,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.3,0.3,0.0,0.4,1.1
6,0.0,0.0,0.0,0.1,0.3,0.6,0.3,0.3,0.0,0.4,1.1,1.0
7,0.0,0.0,0.1,0.3,0.6,0.3,0.3,0.0,0.4,1.1,1.0,1.2
8,0.0,0.1,0.3,0.6,0.3,0.3,0.0,0.4,1.1,1.0,1.2,1.9
9,0.1,0.3,0.6,0.3,0.3,0.0,0.4,1.1,1.0,1.2,1.9,2.5
10,0.3,0.6,0.3,0.3,0.0,0.4,1.1,1.0,1.2,1.9,2.5,2.2
11,0.6,0.3,0.3,0.0,0.4,1.1,1.0,1.2,1.9,2.5,2.2,1.4
12,0.3,0.3,0.0,0.4,1.1,1.0,1.2,1.9,2.5,2.2,1.4,0.4
13,0.3,0.0,0.4,1.1,1.0,1.2,1.9,2.5,2.2,1.4,0.4,1.1
14,0.0,0.4,1.1,1.0,1.2,1.9,2.5,2.2,1.4,0.4,1.1,0.9
15,0.4,1.1,1.0,1.2,1.9,2.5,2.2,1.4,0.4,1.1,0.9,1.4
16,1.1,1.0,1.2,1.9,2.5,2.2,1.4,0.4,1.1,0.9,1.4,0.6
17,1.0,1.2,1.9,2.5,2.2,1.4,0.4,1.1,0.9,1.4,0.6,0.2
18,1.2,1.9,2.5,2.2,1.4,0.4,1.1,0.9,1.4,0.6,0.2,0.2
19,1.9,2.5,2.2,1.4,0.4,1.1,0.9,1.4,0.6,0.2,0.2,0.0
20,2.5,2.2,1.4,0.4,1.1,0.9,1.4,0.6,0.2,0.2,0.0,0.0
21,2.2,1.4,0.4,1.1,0.9,1.4,0.6,0.2,0.2,0.0,0.0,0.0
22,1.4,0.4,1.1,0.9,1.4,0.6,0.2,0.2,0.0,0.0,0.0,0.0
23,0.4,1.1,0.9,1.4,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.3
24,1.1,0.9,1.4,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.5
25,0.9,1.4,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.5,0.9
26,1.4,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.5,0.9,1.0
27,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.5,0.9,1.0,1.2
28,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.5,0.9,1.0,1.2,1.2
29,0.2,0.0,0.0,0.0,0.0,0.3,0.5,0.9,1.0,1.2,1.2,1.2
30,0.0,0.0,0.0,0.0,0.3,0.5,0.9,1.0,1.2,1.2,1.2,2.0
31,0.0,0.0,0.0,0.3,0.5,0.9,1.0,1.2,1.2,1.2,2.0,1.2
32,0.0,0.0,0.3,0.5,0.9,1.0,1.2,1.2,1.2,2.0,1.2,1.3
33,0.0,0.3,0.5,0.9,1.0,1.2,1.2,1.2,2.0,1.2,1.3,0.7
34,0.3,0.5,0.9,1.0,1.2,1.2,1.2,2.0,1.2,1.3,0.7,0.4
35,0.5,0.9,1.0,1.2,1.2,1.2,2.0,1.2,1.3,0.7,0.4,0.2
36,0.9,1.0,1.2,1.2,1.2,2.0,1.2,1.3,0.7,0.4,0.2,0.3
37,1.0,1.2,1.2,1.2,2.0,1.2,1.3,0.7,0.4,0.2,0.3,0.1
38,1.2,1.2,1.2,2.0,1.2,1.3,0.7,0.4,0.2,0.3,0.1,0.1
39,1.2,1.2,2.0,1.2,1.3,0.7,0.4,0.2,0.3,0.1,0.1,0.0
40,1.2,2.0,1.2,1.3,0.7,0.4,0.2,0.3,0.1,0.1,0.0,0.0
41,2.0,1.2,1.3,0.7,0.4,0.2,0.3,0.1,0.1,0.0,0.0,0.0
42,1.2,1.3,0.7,0.4,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.0
43,1.3,0.7,0.4,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0
44,0.7,0.4,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
45,0.4,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,1.4
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,1.4,2.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,1.4,2.0,1.5
58,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,1.4,2.0,1.5,1.4
59,0.0,0.0,0.0,0.0,0.0,0.2,0.9,1.4,2.0,1.5,1.4,1.5
60,0.0,0.0,0.0,0.0,0.2,0.9,1.4,2.0,1.5,1.4,1.5,1.2
61,0.0,0.0,0.0,0.2,0.9,1.4,2.0,1.5,1.4,1.5,1.2,0.8
62,0.0,0.0,0.2,0.9,1.4,2.0,1.5,1.4,1.5,1.2,0.8,1.0
63,0.0,0.2,0.9,1.4,2.0,1.5,1.4,1.5,1.2,0.8,1.0,0.6
64,0.2,0.9,1.4,2.0,1.5,1.4,1.5,1.2,0.8,1.0,0.6,0.5
65,0.9,1.4,2.0,1.5,1.4,1.5,1.2,0.8,1.0,0.6,0.5,0.3
66,1.4,2.0,1.5,1.4,1.5,1.2,0.8,1.0,0.6,0.5,0.3,0.8
67,2.0,1.5,1.4,1.5,1.2,0.8,1.0,0.6,0.5,0.3,0.8,0.7
68,1.5,1.4,1.5,1.2,0.8,1.0,0.6,0.5,0.3,0.8,0.7,0.1
69,1.4,1.5,1.2,0.8,1.0,0.6,0.5,0.3,0.8,0.7,0.1,0.2
70,1.5,1.2,0.8,1.0,0.6,0.5,0.3,0.8,0.7,0.1,0.2,0.3
71,1.2,0.8,1.0,0.6,0.5,0.3,0.8,0.7,0.1,0.2,0.3,0.5
72,0.8,1.0,0.6,0.5,0.3,0.8,0.7,0.1,0.2,0.3,0.5,1.5
73,1.0,0.6,0.5,0.3,0.8,0.7,0.1,0.2,0.3,0.5,1.5,1.9
74,0.6,0.5,0.3,0.8,0.7,0.1,0.2,0.3,0.5,1.5,1.9,3.6
75,0.5,0.3,0.8,0.7,0.1,0.2,0.3,0.5,1.5,1.9,3.6,6.7
76,0.3,0.8,0.7,0.1,0.2,0.3,0.5,1.5,1.9,3.6,6.7,7.6
77,0.8,0.7,0.1,0.2,0.3,0.5,1.5,1.9,3.6,6.7,7.6,8.2
78,0.7,0.1,0.2,0.3,0.5,1.5,1.9,3.6,6.7,7.6,8.2,8.5
79,0.1,0.2,0.3,0.5,1.5,1.9,3.6,6.7,7.6,8.2,8.5,7.0
80,0.2,0.3,0.5,1.5,1.9,3.6,6.7,7.6,8.2,8.5,7.0,7.5
81,0.3,0.5,1.5,1.9,3.6,6.7,7.6,8.2,8.5,7.0,7.5,6.8
82,0.5,1.5,1.9,3.6,6.7,7.6,8.2,8.5,7.0,7.5,6.8,3.7
83,1.5,1.9,3.6,6.7,7.6,8.2,8.5,7.0,7.5,6.8,3.7,3.5
84,1.9,3.6,6.7,7.6,8.2,8.5,7.0,7.5,6.8,3.7,3.5,4.8
