,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.9,1.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.9,1.4,1.9
6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.9,1.4,1.9,2.4
7,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.9,1.4,1.9,2.4,2.3
8,0.0,0.0,0.0,0.0,0.2,0.8,0.9,1.4,1.9,2.4,2.3,3.9
9,0.0,0.0,0.0,0.2,0.8,0.9,1.4,1.9,2.4,2.3,3.9,4.3
10,0.0,0.0,0.2,0.8,0.9,1.4,1.9,2.4,2.3,3.9,4.3,4.1
11,0.0,0.2,0.8,0.9,1.4,1.9,2.4,2.3,3.9,4.3,4.1,3.9
12,0.2,0.8,0.9,1.4,1.9,2.4,2.3,3.9,4.3,4.1,3.9,3.4
13,0.8,0.9,1.4,1.9,2.4,2.3,3.9,4.3,4.1,3.9,3.4,3.1
14,0.9,1.4,1.9,2.4,2.3,3.9,4.3,4.1,3.9,3.4,3.1,2.5
15,1.4,1.9,2.4,2.3,3.9,4.3,4.1,3.9,3.4,3.1,2.5,1.3
16,1.9,2.4,2.3,3.9,4.3,4.1,3.9,3.4,3.1,2.5,1.3,0.7
17,2.4,2.3,3.9,4.3,4.1,3.9,3.4,3.1,2.5,1.3,0.7,0.6
18,2.3,3.9,4.3,4.1,3.9,3.4,3.1,2.5,1.3,0.7,0.6,0.4
19,3.9,4.3,4.1,3.9,3.4,3.1,2.5,1.3,0.7,0.6,0.4,0.0
20,4.3,4.1,3.9,3.4,3.1,2.5,1.3,0.7,0.6,0.4,0.0,0.0
21,4.1,3.9,3.4,3.1,2.5,1.3,0.7,0.6,0.4,0.0,0.0,0.0
22,3.9,3.4,3.1,2.5,1.3,0.7,0.6,0.4,0.0,0.0,0.0,0.2
23,3.4,3.1,2.5,1.3,0.7,0.6,0.4,0.0,0.0,0.0,0.2,0.3
24,3.1,2.5,1.3,0.7,0.6,0.4,0.0,0.0,0.0,0.2,0.3,0.5
25,2.5,1.3,0.7,0.6,0.4,0.0,0.0,0.0,0.2,0.3,0.5,0.6
26,1.3,0.7,0.6,0.4,0.0,0.0,0.0,0.2,0.3,0.5,0.6,1.3
27,0.7,0.6,0.4,0.0,0.0,0.0,0.2,0.3,0.5,0.6,1.3,1.4
28,0.6,0.4,0.0,0.0,0.0,0.2,0.3,0.5,0.6,1.3,1.4,1.2
29,0.4,0.0,0.0,0.0,0.2,0.3,0.5,0.6,1.3,1.4,1.2,1.7
30,0.0,0.0,0.0,0.2,0.3,0.5,0.6,1.3,1.4,1.2,1.7,1.6
31,0.0,0.0,0.2,0.3,0.5,0.6,1.3,1.4,1.2,1.7,1.6,2.0
32,0.0,0.2,0.3,0.5,0.6,1.3,1.4,1.2,1.7,1.6,2.0,2.0
33,0.2,0.3,0.5,0.6,1.3,1.4,1.2,1.7,1.6,2.0,2.0,1.6
34,0.3,0.5,0.6,1.3,1.4,1.2,1.7,1.6,2.0,2.0,1.6,1.4
35,0.5,0.6,1.3,1.4,1.2,1.7,1.6,2.0,2.0,1.6,1.4,0.6
36,0.6,1.3,1.4,1.2,1.7,1.6,2.0,2.0,1.6,1.4,0.6,0.8
37,1.3,1.4,1.2,1.7,1.6,2.0,2.0,1.6,1.4,0.6,0.8,0.5
38,1.4,1.2,1.7,1.6,2.0,2.0,1.6,1.4,0.6,0.8,0.5,0.2
39,1.2,1.7,1.6,2.0,2.0,1.6,1.4,0.6,0.8,0.5,0.2,0.0
40,1.7,1.6,2.0,2.0,1.6,1.4,0.6,0.8,0.5,0.2,0.0,0.0
41,1.6,2.0,2.0,1.6,1.4,0.6,0.8,0.5,0.2,0.0,0.0,0.2
42,2.0,2.0,1.6,1.4,0.6,0.8,0.5,0.2,0.0,0.0,0.2,0.0
43,2.0,1.6,1.4,0.6,0.8,0.5,0.2,0.0,0.0,0.2,0.0,0.0
44,1.6,1.4,0.6,0.8,0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0
45,1.4,0.6,0.8,0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
46,0.6,0.8,0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
47,0.8,0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
48,0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7
