"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1.83229451336816,0.883359903491709,0.432729143266937,0.133744482986011,-0.177511849615235,-0.645964852172375,-1.19140634093173,-1.63372658229106,-1.91259267291465,-2.14037500841371,-2.37660546048925,-2.3667522444328
0.0674042291472383,-0.484120395483672,-0.787051734025117,-1.07048925691024,-1.49807284258647,-1.99724221563098,-2.39158293598513,-2.62271575525344,-2.80409023477946,-2.99583809106656,-2.9437482327492,-2.80682551721701
2.19891830559208,1.51384540835033,0.968484279854435,0.332087892701561,-0.343264495207856,-0.890426356615763,-1.25619970005374,-1.55735075482074,-1.85634063885837,-1.90070489532794,-1.85082097794807,-1.6889836789467
-0.581201135031953,-1.12464334257007,-1.67068047410881,-2.23171110296082,-2.65865795450863,-2.90537873748206,-3.09179176659257,-3.28181355227423,-3.22360176779735,-3.07771449172768,-2.82638267643592,-2.79140888401202
0.0927149903915481,-0.71765292913003,-1.4325441954155,-1.96918213808888,-2.30116567315227,-2.5570024306429,-2.80516772840493,-2.79656496035652,-2.69355790004973,-2.47964376002159,-2.47755707107339,-2.54233174888829
1.43490450178488,0.380511537882346,-0.378938221867868,-0.883858925526781,-1.2829714573069,-1.65377343956198,-1.75212423676678,-1.74349764451914,-1.61353072901169,-1.68653079119773,-1.81874486445864,-1.86737292780209
1.27865288140633,0.280530860845976,-0.354714969966175,-0.841930438554905,-1.27819324801011,-1.4278042833964,-1.46066058169708,-1.36502058062123,-1.46688321577134,-1.62365715784519,-1.69337838833027,-1.52560108830246
0.0236661814039865,-0.757413012523277,-1.28979631079458,-1.73605077512214,-1.8794743756459,-1.89787091202888,-1.78343155195759,-1.86432667663713,-1.99924389290298,-2.04700226821062,-1.85764475655374,-1.52688454666048
-0.655796942282186,-1.3628281353539,-1.88068081260989,-2.05833957007478,-2.0927862376226,-1.98428471914067,-2.06509036648715,-2.19620187620214,-2.23784534166264,-2.04096429431391,-1.7018684659011,-1.43091403774606
-0.878013976127475,-1.60131584919259,-1.878825584511,-1.9734225067319,-1.90474197130269,-2.01328948372012,-2.16431144888646,-2.22049432248186,-2.03432558348024,-1.70314113362973,-1.43800889814429,-1.30931058049014
